title,description,content,cleaned_title,cleaned_description,cleaned_content,cleaned
Tesla built and delivered a nearly half a million EVs in Q2,"Tesla remains the top US EV producer with a new internal record internal record with 479,700 vehicles built and 466,140 of them delivered in Q2, up ~87 percent YoY.The company made headlines in Q2 after opening its previously-proprietary charging port design …","Tesla remains the top US EV producer with a new internal record internal record with 479,700 vehicles built and 466,140 of them delivered in Q2, up ~87 percent YoY.
The company made headlines in Q2 … [+1970 chars]",tesla build deliver nearly half million ev ,tesla remain top u ev producer new internal record internal record vehicle build deliver percent yoy company make headline open previously proprietary charge port design,tesla remain top u ev producer new internal record internal record vehicle build deliver percent yoy company make headline char,tesla build deliver nearly half million ev tesla remain top u ev producer new internal record internal record vehicle build deliver percent yoy company make headline open previously proprietary charge port designtesla remain top u ev producer new internal record internal record vehicle build deliver percent yoy company make headline char
Tesla's 'Charge on Solar' lets Powerwall owners send excess energy to their EV,"Tesla has launched a feature called ""Charge on Solar"" that allows owners to fill up their electric vehicles' batteries using only excess solar energy. As TechCrunch notes, the automaker started testing the capability in May, but now it's more widely available…","Tesla has launched a feature called ""Charge on Solar"" that allows owners to fill up their electric vehicles' batteries using only excess solar energy. As TechCrunch notes, the automaker started testi… [+1404 chars]",tesla charge solar let powerwall owner send excess energy ev,tesla launch feature call charge solar allow owner fill electric vehicle battery use excess solar energy techcrunch es automaker start test capability may widely available,tesla launch feature call charge solar allow owner fill electric vehicle battery use excess solar energy techcrunch es automaker start testi char,tesla charge solar let powerwall owner send excess energy evtesla launch feature call charge solar allow owner fill electric vehicle battery use excess solar energy techcrunch es automaker start test capability may widely availabletesla launch feature call charge solar allow owner fill electric vehicle battery use excess solar energy techcrunch es automaker start testi char
Tesla’s Cybertruck is less than 19 feet long so it can fit in your garage,"Tesla’s Cybertruck is a sub-19-foot pickup, and the company claims it’s the first four-door with a six-foot bed. Elon Musk says in a Q2 earnings call that the automaker is building release candidates in its Austin, Texas Gigafactory.","Teslas Cybertruck is less than 19 feet long so it can fit in your garage
Teslas Cybertruck is less than 19 feet long so it can fit in your garage
 / Tesla claims the Cybertruck is the first sub-19-… [+3551 chars]",tesla cybertruck less foot long fit garage,tesla cybertruck sub foot pickup company claim first four door six foot bed elon musk say earnings call automaker build release candidate austin texas gigafactory,tesla cybertruck less foot long fit garage teslas cybertruck less foot long fit garage tesla claim cybertruck first sub char,tesla cybertruck less foot long fit garagetesla cybertruck sub foot pickup company claim first four door six foot bed elon musk say earnings call automaker build release candidate austin texas gigafactorytesla cybertruck less foot long fit garage teslas cybertruck less foot long fit garage tesla claim cybertruck first sub char
Tesla Door Phone Decoded (Not That Tesla),"[Danman] has digital door phones manufactured by Tesla — or at least, a Tesla, as they’re not to be confused with the carmaker, though. The problem is if someone comes to the door when …","[Danman] has digital door phones manufactured by Tesla — or at least, a Tesla, as they’re not to be confused with the carmaker, though. The problem is if someone comes to the door when no one’s home,… [+1012 chars]",tesla door phone decode tesla,danman digital door phone manufacture tesla least tesla confuse carmaker though problem someone come door ,danman digital door phone manufacture tesla least tesla confuse carmaker though problem someone come door one home char,tesla door phone decode tesladanman digital door phone manufacture tesla least tesla confuse carmaker though problem someone come door danman digital door phone manufacture tesla least tesla confuse carmaker though problem someone come door one home char
US opens new special probe into fatal Tesla crash - Reuters,US opens new special probe into fatal Tesla crash  Reuters,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]",u open new special probe fatal tesla crash reuters,u open new special probe fatal tesla crash reuters,use cooky data todeliver maintain google servicestrack outage protect spam fraud abusemeasure audience engagement site statistic unde char,u open new special probe fatal tesla crash reutersu open new special probe fatal tesla crash reutersuse cooky data todeliver maintain google servicestrack outage protect spam fraud abusemeasure audience engagement site statistic unde char
NHTSA investigating Tesla Autopilot after yet another fatal crash,NHTSA has opened dozens of investigations into Tesla after more than 30 deaths.,"51 with 
Tesla's Autopilot driver assistance feature is the subject of yet another federal safety investigation. Although the details are scarce, Reuters reports that the National Highway Traffic Sa… [+2341 chars]",nhtsa investigate tesla autopilot yet anot fatal crash,nhtsa open dozen investigation tesla death,tesla autopilot driver assistance feature subject yet anot federal safety investigation although detail scarce reuters report national highway traffic sa char,nhtsa investigate tesla autopilot yet anot fatal crashnhtsa open dozen investigation tesla deathtesla autopilot driver assistance feature subject yet anot federal safety investigation although detail scarce reuters report national highway traffic sa char
Tesla vs. Lucid: What to know about each company's electric vehicles before you buy,"When it comes to Tesla vs. Lucid, the newcomer to the electric vehicle industry is gaining significant traction. Can Tesla keep up?","The Lucid Air Grand Touring Performance.Tim Levin/Insider
<ul>
<li>Lucid Motors is one of the most exciting Tesla rivals today. </li>
<li>The California startup makes expensive, luxurious, and impre… [+3775 chars]",tesla v lucid knot company electric vehicle buy,come tesla vs lucid newcomer electric vehicle industry gain significant traction tesla keep ,lucid air grand tour performance tim levin insider lucid motor one exciting tesla rival today california startup make expensive luxurious impre char,tesla v lucid knot company electric vehicle buycome tesla vs lucid newcomer electric vehicle industry gain significant traction tesla keep lucid air grand tour performance tim levin insider lucid motor one exciting tesla rival today california startup make expensive luxurious impre char
"Nissan Follows Ford, GM and Adopts Tesla Charging - CNET",Electric vehicles from Nissan will soon work with Tesla Superchargers.,"Nissan is the latest car manufacturer to ensure its electric vehicles can use Tesla chargers. Nissan announced an agreement with Tesla on Wednesday to adopt the North American Charging Standard, or N… [+1680 chars]",nissan follow ford gm adopts tesla charge cnet,electric vehicle nissan soon work tesla supercharger,nissan late car manufacturer ensure electric vehicle use tesla charger nissan annot unced agreement tesla wednesday adopt rth american charge standard char,nissan follow ford gm adopts tesla charge cnetelectric vehicle nissan soon work tesla superchargernissan late car manufacturer ensure electric vehicle use tesla charger nissan annot unced agreement tesla wednesday adopt rth american charge standard char
Tesla just gave us our best look at the Cybertruck's production line,Elon Musk's long-awaited pickup truck is finally set to hit the market this year. Tesla showed off a few photos of the Cybertruck factory.,"For years, we the public barely knew what was going on with Tesla's Cybertruck. Now it's almost here. 
Last week, Tesla built its first Cybertruck at its Texas Gigafactory. And on Wednesday, Elon Mu… [+799 chars]",tesla give u best look cybertrucks production line,elon musk long await pickup truck finally set hit market year tesla show photo cybertruck factory,year public barely know go tesla cybertruck almost last week tesla built first cybertruck texas gigafactory wednesday elon mu char,tesla give u best look cybertrucks production lineelon musk long await pickup truck finally set hit market year tesla show photo cybertruck factoryyear public barely know go tesla cybertruck almost last week tesla built first cybertruck texas gigafactory wednesday elon mu char
Tesla Executives to Pay $735M to Settle Shareholder Lawsuit,"Tesla shareholders, including CEO Elon Musk, who were accused of receiving excessive compensation, have reached a settlement with the company […]
The post Tesla Executives to Pay $735M to Settle Shareholder Lawsuit appeared first on ReadWrite.","Tesla shareholders, including CEO Elon Musk, who were accused of receiving excessive compensation, have reached a settlement with the company amounting to $735 million. The lawsuit, filed in 2020 by … [+7304 chars]",tesla executive pay settle shareholder lawsuit,tesla shareholder include ceo elon musk accuse receive excessive compensation reach settlement company post tesla executive pay settle shareholder lawsuit appear first readwrite,tesla shareholder include ceo elon musk accuse receive excessive compensation reach settlement company amount million lawsuit file char,tesla executive pay settle shareholder lawsuittesla shareholder include ceo elon musk accuse receive excessive compensation reach settlement company post tesla executive pay settle shareholder lawsuit appear first readwritetesla shareholder include ceo elon musk accuse receive excessive compensation reach settlement company amount million lawsuit file char
